typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","784","ARE","United Arab Emirates","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","109.7","false","8","kg","109.7","false","109.7","false",,"false","19691.137",,"19691.137","0","false","true",
"C","A","20140101","2014","52","2014","807","MKD","North Macedonia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9","true","-1","N/A",,"false","9","true",,"false","90",,"90","6","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","-1","N/A",,"false","3","false",,"false","2314",,"2314","0","true","false",
"C","A","20140101","2014","52","2014","842","USA","USA","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","78","false","-1","N/A",,"false","78","false",,"false","861",,"861","0","true","false",
"C","A","20150101","2015","52","2015","90","SLB","Solomon Isds","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","281","true","-1","N/A",,"false","281","true",,"false","1657",,"1657","6","true","false",
"C","A","20150101","2015","52","2015","96","BRN","Brunei Darussalam","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","144","false","-1","N/A",,"false","144","false",,"false","1793",,"1793","0","true","false",
"C","A","20150101","2015","52","2015","144","LKA","Sri Lanka","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1800","false","-1","N/A",,"false","1800","false",,"false","23311",,"23311","0","true","false",
"C","A","20150101","2015","52","2015","156","CHN","China","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","142","false","8","kg","142","false","142","false",,"false","1420",,"1420","0","false","true",
"C","A","20150101","2015","52","2015","203","CZE","Czechia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1110","false","-1","N/A",,"false","1110","false",,"false","10081",,"10081","0","true","false",
"C","A","20150101","2015","52","2015","242","FJI","Fiji","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1027.05","false","8","kg","1027.05","false","1027.05","false","0","false","4941.783","0","4941.783","0","false","true",
"C","A","20150101","2015","52","2015","246","FIN","Finland","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66","true","-1","N/A",,"false","66","true",,"false","531",,"531","6","true","false",
"C","A","20150101","2015","52","2015","251","FRA","France","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4","false","-1","N/A",,"false","4","false",,"false","70",,"70","0","true","false",
