name,longitude,latitude,city,state
Lismore Regional Gallery,153.2791883,-28.8077608,Lismore,NSW
Liverpool Powerhouse,150.8952778,-33.9522222,Casula,NSW
Liverpool Street Gallery,150.7513157,-33.600541,East Sydney,NSW
Logan Art Gallery,153.1072741,-27.6412988,Logan Central,QLD
LON Gallery,144.9907213,-37.80745,Richmond,VIC
Lyon Housemuseum & Housemuseum Galleries,145.0333285,-37.8033586,Kew,VIC
M16 Artspace,149.1371297,-35.3253499,Griffith,ACT
M2 Gallery,151.2100301,-33.8845123,Surry Hills,NSW
Macquarie University Art Gallery,151.1256747,-33.7814961,Macquarie Park,NSW
Madeline Gordon Gallery,147.1373496,-41.4340813,Launceston,TAS
Maffra Exhibition Space,146.9764384,-37.9652474,Maffra,VIC
MAGMA,144.9881387,-37.802104,Collingwood,VIC
Maitland Regional Art Gallery,151.5614115,-32.7373932,Maitland,NSW
Manly Art Gallery & Museum,151.2879845,-33.7971937,Manly,NSW
Manning Regional Art Gallery,152.4608481,-31.912864,Taree,NSW
Manningham Art Gallery,145.1238431,-37.7848299,Doncaster,VIC
Margaret Whitlam Galleries, 151.0237497178994, -33.81296794725896, Whitlam Institute,VIC
Maroondah Federation Estate Gallery,145.2303117,-37.8197514,Ringwood,VIC
MARS,144.9916848,-37.8558243,Windsor,VIC
Martin Browne Contemporary,151.2272766,-33.8841572,Paddington,NSW
Mary Cherry,144.9881387,-37.802104,Collingwood,VIC
McClelland Gallery + Sculpture Park,145.1973931,-38.1545829,Langwarrin,VIC
McGlade Gallery,151.078506,-33.8798136,Strathfield,NSW
Meat Market’s Stables,144.9423514,-37.8076092,North Melbourne,VIC
Megalo Print Studio + Gallery,149.1465925,-35.3152303,Kingston,ACT
Melbourne Convention and Exhibition Centre,144.9493432,-37.8253279,South Wharf,VIC
Melbourne Holocaust Museum,145.0010231,-37.8849937,Elsternwick,VIC
Melbourne Museum,144.9723488,-37.8032298,Carlton,VIC
Metro Arts,153.0075017,-27.4832994,West End,QLD
Midland Junction Arts Centre,116.0068289,-31.8902981,Midland,WA
Midnight in Paris,144.9898165,-37.849953,Prahran,VIC
Mildura Arts Centre,142.1583733,-34.1776027,Mildura,VIC
Missing Persons,144.9918537,-37.8377695,South Yarra,VIC
Mitchell Fine Art,153.0362663,-27.4572735,Fortitude Valley,QLD
Modern Times,144.9918537,-37.8377695,South Yarra,VIC
Monash University MADA Gallery,145.0420847,-37.881276,Caulfield East,VIC
Monash University Museum of Art (MUMA),145.0420847,-37.881276,Caulfield East,VIC
Montville Art Gallery,152.8940371,-26.6971025,Montville,QLD
Moonah Arts Centre (MAC),147.2918113,-42.8472695,Moonah,TAS
MOORE CONTEMPORARY,115.8613958,-31.955324,Perth,WA
Moores Building Contemporary Art Gallery,115.7586172,-32.0534086,Fremantle,WA
Mornington Peninsula Regional Gallery,145.0411089,-38.2202151,Mornington,VIC
Mosman Art Gallery,151.2476855,-33.8283536,Mosman,NSW
Mossenson Galleries,115.8341849,-31.9473041,Subiaco,WA
Mudgee Arts Precinct,149.5834228,-32.5899469,Mudgee,NSW
Mundaring Arts Centre,144.9918537,-37.8377695,South Yarra,VIC
Murray Art Museum Albury (MAMA),146.9174121,-36.0808976,Albury,NSW
Murray Bridge Regional Gallery,139.2651638,-35.1309451,Murray Bridge,SA
Museum and Art Gallery of the Northern Territory (MAGNT),130.8332833,-12.4372686,of the,NT
Museum of Art and Culture Lake Macquarie (MAC),151.6108467,-32.9717629,Booragul,NSW
Museum of Australian Photography (MAPh),145.1978927,-37.9080509,Wheelers Hill,VIC
Museum of Brisbane,153.0642439,-27.4135802,Hall Brisbane,QLD
Museum of Contemporary Art Australia,151.2083216,-33.859992,The Rocks,NSW
Museum of Old and New Art (Mona), 147.26146404965914, -42.81237978570957, Berridale Hobart,TAS
Museum of Sydney,144.9918537,-37.8377695,South Yarra,VIC
Muswellbrook Regional Arts Centre,150.516408,-32.4881159,Muswellbrook,NSW
Mystik River Gallery,144.9639481,-37.8231713,Southbank Melbourne,VIC
N. Smith Gallery,151.2272766,-33.8841572,Paddington,NSW
Nancy Sever Gallery,149.1012676,-35.2975906,Canberra,ACT
Nanda\Hobbs,151.1995298,-33.8873381,Chippendale,NSW
Nasha Gallery,151.2044524,-33.8814408,Haymarket,NSW
National Anzac Centre,117.9014372,-35.0269785,Mount Clarence,WA
National Art School Gallery,151.219225,-33.8783381,Darlinghurst,NSW
National Gallery of Australia,149.1366851,-35.3008452,Parkes,ACT
National Gallery of Victoria – NGV International,144.9686548,-37.8229117,Gallery of,VIC
National Gallery of Victoria – The Ian Potter Centre: NGV Australia,144.9686548,-37.8229117,Gallery of,VIC
National Library of Australia (NLA),149.135887,-35.3004029,Canberra,ACT
National Museum of Australia (NMA),149.1173851,-35.2900563,Acton Peninsula,ACT
National Portrait Gallery,149.1338471,-35.2998647,Parkes,ACT
