name,longitude,latitude,city,state
Perth Concert Hall,115.8643,-31.9573,Perth,
Perth Convention and Exhibition Centre,115.8532,-31.9561,Perth,
Studio Underground,115.8591,-31.9498,Perth,
Riverside Theatre,115.8532,-31.9561,Perth,
Burswood Dome,115.8983,-31.9602,Perth,
The Old Mill Theatre,115.852,-31.9732,Perth,
Onstage Arts,116.008,-32.0394,Perth,
Nexus Theatre,115.8359,-32.0661,Perth,
Victoria Hall Fremantle,115.7499,-32.0537,Perth,
James Farifax Theatre,149.1343,-35.3007,Canberra,
Wesley Music Centre,149.1318,-35.3127,Canberra,
Tim Murray Theatre,149.1282,-35.3304,Canberra,
ANU Arts Centre,149.1204,-35.2775,Canberra,
"ANU Law School, Law Theatre",149.1287,-35.282,Canberra,
Coombs Theatre,149.1188,-35.2829,Canberra,
"The Arc Cinema, National Film & Sound Archive",149.1213,-35.2839,Canberra,ACT
"Theatre 5, Manning Clark Centre",149.1185,-35.2777,Canberra,
Canberra Theatre Centre,149.1302,-35.2818,Canberra,
Llewellyn Hall,149.1235,-35.2802,Canberra,
The Street Theatre,149.1238,-35.2784,Canberra,
Templo Theatre,149.1265,-35.2801,Canberra,
C Block Theatre,149.1404,-35.2763,Canberra,
Lyneham Performing Arts Centre,149.1297,-35.2522,Canberra,
Canberra College Performing Arts Centre,149.0864,-35.3413,Canberra,
Erindale Theatre,149.0958,-35.4031,Canberra,
Glenbrook Cinema,150.6219,-33.7651,Glenbrook,
Mittagong Playhouse,150.4463,-34.4518,Mittagong,
Lieder Theatre,149.7201,-34.7511,Goulburn,
The Hub,151.3923,-33.4387,Erina,
Cinema Paradiso,151.3408,-33.5149,Ettalong Beach,
Naughty Noodle Fun Haus,151.3341,-33.5134,Ettalong Beach,
FunHaus Factory,151.3434,-33.4269,Gosford,
The Peninsula Theatre,151.3197,-33.4981,Woy Woy,
Wyong Musical Theatre Company,151.4253,-33.2798,Wyong,
Cowra Services Club Auditorium,148.6918,-33.8341,Cowra,
Lithgow Union Theatre,150.161,-33.4827,Lithgow,
Crystal Theatre,149.981,-33.3541,Portland,
Orange Civic Theatre,149.1024,-33.2818,Orange,
Parkes Little Theatre,148.1732,-33.1372,Parkes,
The Regent Theatre - Richmond,150.7536,-33.5978,Richmond,
Melbourne Conservatorium of Music,144.9579,-37.7983,Hunter Valley,
Wollombi Cultural Centre,151.1408,-32.9378,Hunter Valley,
Warners Bay Theatre,151.6458,-32.9723,Warners Bay,
Factory Theatre,151.7148,-32.937,Newcastle,
Brunker Community Theatre,151.7267,-32.9332,Newcastle,
Black Box Theatre,151.753,-32.9232,Newcastle,
Event Cinemas Kotara,151.7,-32.9424,Newcastle,
Kantor Music & Peforming Arts Centre,142.0239,-37.737,Newcastle,
Young People's Theatre,151.7495,-32.9221,Newcastle,
The Creative Arts Space,151.7682,-32.9294,Newcastle,
Harold Lobb Concert Hall,151.6339,-32.7827,Newcastle,
Sandi Warren Performing Arts Centre,151.7789,-32.9267,Newcastle,
Hunter Theatre,151.7259,-32.9249,Newcastle,
The Royal Exchange,151.7829,-32.9283,Newcastle,
