state,institution,year,faculty,enrolments
Queensland,University of Southern Queensland,2020,Architecture and Building,67
Queensland,University of Southern Queensland,2020,"Agriculture, Environmental and Related Studies",246
Queensland,University of Southern Queensland,2020,Health,5131
Queensland,University of Southern Queensland,2020,Education,4160
Queensland,University of Southern Queensland,2020,Management and Commerce,1752
Queensland,University of Southern Queensland,2020,Society and Culture,4316
Queensland,University of Southern Queensland,2020,Creative Arts,2359
Queensland,University of Southern Queensland,2020,Mixed Field Programmes,365
Queensland,University of Southern Queensland,2020,Non-Award Courses,620
Queensland,University of Southern Queensland,2021,Natural and Physical Sciences,1646
Queensland,University of Southern Queensland,2021,Information Technology,1217
Queensland,University of Southern Queensland,2021,Engineering and Related Technologies,3724
Queensland,University of Southern Queensland,2021,Architecture and Building,65
Queensland,University of Southern Queensland,2021,"Agriculture, Environmental and Related Studies",238
Queensland,University of Southern Queensland,2021,Health,4960
Queensland,University of Southern Queensland,2021,Education,4022
Queensland,University of Southern Queensland,2021,Management and Commerce,1694
Queensland,University of Southern Queensland,2021,Society and Culture,4173
Queensland,University of Southern Queensland,2021,Creative Arts,2281
Queensland,University of Southern Queensland,2021,Mixed Field Programmes,353
Queensland,University of Southern Queensland,2021,Non-Award Courses,600
Queensland,University of Southern Queensland,2022,Natural and Physical Sciences,1491
Queensland,University of Southern Queensland,2022,Information Technology,1103
Queensland,University of Southern Queensland,2022,Engineering and Related Technologies,3373
Queensland,University of Southern Queensland,2022,Architecture and Building,59
Queensland,University of Southern Queensland,2022,"Agriculture, Environmental and Related Studies",216
Queensland,University of Southern Queensland,2022,Health,4493
Queensland,University of Southern Queensland,2022,Education,3643
Queensland,University of Southern Queensland,2022,Management and Commerce,1535
Queensland,University of Southern Queensland,2022,Society and Culture,3780
Queensland,University of Southern Queensland,2022,Creative Arts,2066
Queensland,University of Southern Queensland,2022,Mixed Field Programmes,320
Queensland,University of Southern Queensland,2022,Non-Award Courses,543
Queensland,University of Southern Queensland,2023,Natural and Physical Sciences,1417
Queensland,University of Southern Queensland,2023,Information Technology,1048
Queensland,University of Southern Queensland,2023,Engineering and Related Technologies,3206
Queensland,University of Southern Queensland,2023,Architecture and Building,56
Queensland,University of Southern Queensland,2023,"Agriculture, Environmental and Related Studies",205
Queensland,University of Southern Queensland,2023,Health,4270
Queensland,University of Southern Queensland,2023,Education,3463
Queensland,University of Southern Queensland,2023,Management and Commerce,1459
Queensland,University of Southern Queensland,2023,Society and Culture,3593
Queensland,University of Southern Queensland,2023,Creative Arts,1964
Queensland,University of Southern Queensland,2023,Mixed Field Programmes,304
Queensland,University of Southern Queensland,2023,Non-Award Courses,516
Queensland,University of Southern Queensland,2024,Natural and Physical Sciences,1370
Queensland,University of Southern Queensland,2024,Information Technology,1013
Queensland,University of Southern Queensland,2024,Engineering and Related Technologies,3099
Queensland,University of Southern Queensland,2024,Architecture and Building,54
Queensland,University of Southern Queensland,2024,"Agriculture, Environmental and Related Studies",198
Queensland,University of Southern Queensland,2024,Health,4128
Queensland,University of Southern Queensland,2024,Education,3347
Queensland,University of Southern Queensland,2024,Management and Commerce,1410
Queensland,University of Southern Queensland,2024,Society and Culture,3473
Queensland,University of Southern Queensland,2024,Creative Arts,1898
Queensland,University of Southern Queensland,2024,Mixed Field Programmes,294
Queensland,University of Southern Queensland,2024,Non-Award Courses,499
Queensland,University of the Sunshine Coast,2020,Natural and Physical Sciences,1343
Queensland,University of the Sunshine Coast,2020,Information Technology,682
Queensland,University of the Sunshine Coast,2020,Engineering and Related Technologies,615
Queensland,University of the Sunshine Coast,2020,Architecture and Building,75
Queensland,University of the Sunshine Coast,2020,"Agriculture, Environmental and Related Studies",619
Queensland,University of the Sunshine Coast,2020,Health,6034
Queensland,University of the Sunshine Coast,2020,Education,1711
Queensland,University of the Sunshine Coast,2020,Management and Commerce,1606
Queensland,University of the Sunshine Coast,2020,Society and Culture,3544
Queensland,University of the Sunshine Coast,2020,Creative Arts,943
Queensland,University of the Sunshine Coast,2020,Mixed Field Programmes,1121
Queensland,University of the Sunshine Coast,2020,Non-Award Courses,861
Queensland,University of the Sunshine Coast,2021,Natural and Physical Sciences,1353
Queensland,University of the Sunshine Coast,2021,Information Technology,687
Queensland,University of the Sunshine Coast,2021,Engineering and Related Technologies,620
Queensland,University of the Sunshine Coast,2021,Architecture and Building,76
Queensland,University of the Sunshine Coast,2021,"Agriculture, Environmental and Related Studies",623
Queensland,University of the Sunshine Coast,2021,Health,6078
Queensland,University of the Sunshine Coast,2021,Education,1724
Queensland,University of the Sunshine Coast,2021,Management and Commerce,1617
Queensland,University of the Sunshine Coast,2021,Society and Culture,3570
Queensland,University of the Sunshine Coast,2021,Creative Arts,950
Queensland,University of the Sunshine Coast,2021,Mixed Field Programmes,1130
Queensland,University of the Sunshine Coast,2021,Non-Award Courses,867
Queensland,University of the Sunshine Coast,2022,Natural and Physical Sciences,1292
Queensland,University of the Sunshine Coast,2022,Information Technology,656
Queensland,University of the Sunshine Coast,2022,Engineering and Related Technologies,592
Queensland,University of the Sunshine Coast,2022,Architecture and Building,72
Queensland,University of the Sunshine Coast,2022,"Agriculture, Environmental and Related Studies",596
Queensland,University of the Sunshine Coast,2022,Health,5806
Queensland,University of the Sunshine Coast,2022,Education,1647
Queensland,University of the Sunshine Coast,2022,Management and Commerce,1545
Queensland,University of the Sunshine Coast,2022,Society and Culture,3410
Queensland,University of the Sunshine Coast,2022,Creative Arts,908
Queensland,University of the Sunshine Coast,2022,Mixed Field Programmes,1079
Queensland,University of the Sunshine Coast,2022,Non-Award Courses,828
Queensland,University of the Sunshine Coast,2023,Natural and Physical Sciences,1330
Queensland,University of the Sunshine Coast,2023,Information Technology,675
Queensland,University of the Sunshine Coast,2023,Engineering and Related Technologies,609
Queensland,University of the Sunshine Coast,2023,Architecture and Building,74
Queensland,University of the Sunshine Coast,2023,"Agriculture, Environmental and Related Studies",613
Queensland,University of the Sunshine Coast,2023,Health,5974
Queensland,University of the Sunshine Coast,2023,Education,1695
Queensland,University of the Sunshine Coast,2023,Management and Commerce,1590
Queensland,University of the Sunshine Coast,2023,Society and Culture,3510
Queensland,University of the Sunshine Coast,2023,Creative Arts,934
Queensland,University of the Sunshine Coast,2023,Mixed Field Programmes,1110
Queensland,University of the Sunshine Coast,2023,Non-Award Courses,852
Queensland,University of the Sunshine Coast,2024,Natural and Physical Sciences,1395
Queensland,University of the Sunshine Coast,2024,Information Technology,708
Queensland,University of the Sunshine Coast,2024,Engineering and Related Technologies,639
Queensland,University of the Sunshine Coast,2024,Architecture and Building,78
Queensland,University of the Sunshine Coast,2024,"Agriculture, Environmental and Related Studies",643
Queensland,University of the Sunshine Coast,2024,Health,6268
Queensland,University of the Sunshine Coast,2024,Education,1778
Queensland,University of the Sunshine Coast,2024,Management and Commerce,1668
Queensland,University of the Sunshine Coast,2024,Society and Culture,3682
Queensland,University of the Sunshine Coast,2024,Creative Arts,980
Queensland,University of the Sunshine Coast,2024,Mixed Field Programmes,1165
Queensland,University of the Sunshine Coast,2024,Non-Award Courses,894
South Australia,Flinders University,2020,Natural and Physical Sciences,2191
South Australia,Flinders University,2020,Information Technology,1167
South Australia,Flinders University,2020,Engineering and Related Technologies,1358
South Australia,Flinders University,2020,"Agriculture, Environmental and Related Studies",181
South Australia,Flinders University,2020,Health,8806
South Australia,Flinders University,2020,Education,2569
South Australia,Flinders University,2020,Management and Commerce,1886
South Australia,Flinders University,2020,Society and Culture,6002
South Australia,Flinders University,2020,Creative Arts,1317
South Australia,Flinders University,2020,Mixed Field Programmes,553
South Australia,Flinders University,2020,Non-Award Courses,494
South Australia,Flinders University,2021,Natural and Physical Sciences,2157
South Australia,Flinders University,2021,Information Technology,1149
South Australia,Flinders University,2021,Engineering and Related Technologies,1338
South Australia,Flinders University,2021,"Agriculture, Environmental and Related Studies",178
South Australia,Flinders University,2021,Health,8672
South Australia,Flinders University,2021,Education,2530
South Australia,Flinders University,2021,Management and Commerce,1858
South Australia,Flinders University,2021,Society and Culture,5910
South Australia,Flinders University,2021,Creative Arts,1297
South Australia,Flinders University,2021,Mixed Field Programmes,544
South Australia,Flinders University,2021,Non-Award Courses,486
South Australia,Flinders University,2022,Natural and Physical Sciences,2165
South Australia,Flinders University,2022,Information Technology,1153
South Australia,Flinders University,2022,Engineering and Related Technologies,1342
South Australia,Flinders University,2022,"Agriculture, Environmental and Related Studies",179
South Australia,Flinders University,2022,Health,8701
South Australia,Flinders University,2022,Education,2539
South Australia,Flinders University,2022,Management and Commerce,1864
South Australia,Flinders University,2022,Society and Culture,5930
South Australia,Flinders University,2022,Creative Arts,1301
South Australia,Flinders University,2022,Mixed Field Programmes,546
South Australia,Flinders University,2022,Non-Award Courses,488
South Australia,Flinders University,2023,Natural and Physical Sciences,2234
South Australia,Flinders University,2023,Information Technology,1190
South Australia,Flinders University,2023,Engineering and Related Technologies,1385
South Australia,Flinders University,2023,"Agriculture, Environmental and Related Studies",184
South Australia,Flinders University,2023,Health,8978
South Australia,Flinders University,2023,Education,2619
South Australia,Flinders University,2023,Management and Commerce,1923
South Australia,Flinders University,2023,Society and Culture,6119
South Australia,Flinders University,2023,Creative Arts,1342
South Australia,Flinders University,2023,Mixed Field Programmes,564
South Australia,Flinders University,2023,Non-Award Courses,503
South Australia,Flinders University,2024,Natural and Physical Sciences,2108
South Australia,Flinders University,2024,Information Technology,1123
South Australia,Flinders University,2024,Engineering and Related Technologies,1307
South Australia,Flinders University,2024,"Agriculture, Environmental and Related Studies",174
South Australia,Flinders University,2024,Health,8473
South Australia,Flinders University,2024,Education,2472
South Australia,Flinders University,2024,Management and Commerce,1815
South Australia,Flinders University,2024,Society and Culture,5775
South Australia,Flinders University,2024,Creative Arts,1267
South Australia,Flinders University,2024,Mixed Field Programmes,532
South Australia,Flinders University,2024,Non-Award Courses,475
South Australia,Private Universities and Non-University Higher Education Providers,2020,Information Technology,201
South Australia,Private Universities and Non-University Higher Education Providers,2020,Engineering and Related Technologies,234
South Australia,Private Universities and Non-University Higher Education Providers,2020,Health,262
South Australia,Private Universities and Non-University Higher Education Providers,2020,Education,2284
South Australia,Private Universities and Non-University Higher Education Providers,2020,Management and Commerce,3685
South Australia,Private Universities and Non-University Higher Education Providers,2020,Society and Culture,1114
South Australia,Private Universities and Non-University Higher Education Providers,2020,Creative Arts,388
South Australia,Private Universities and Non-University Higher Education Providers,2020,Non-Award Courses,16
South Australia,Private Universities and Non-University Higher Education Providers,2021,Information Technology,178
South Australia,Private Universities and Non-University Higher Education Providers,2021,Engineering and Related Technologies,208
South Australia,Private Universities and Non-University Higher Education Providers,2021,Health,232
South Australia,Private Universities and Non-University Higher Education Providers,2021,Education,2023
South Australia,Private Universities and Non-University Higher Education Providers,2021,Management and Commerce,3264
South Australia,Private Universities and Non-University Higher Education Providers,2021,Society and Culture,987
South Australia,Private Universities and Non-University Higher Education Providers,2021,Creative Arts,344
South Australia,Private Universities and Non-University Higher Education Providers,2021,Non-Award Courses,14
South Australia,Private Universities and Non-University Higher Education Providers,2022,Information Technology,175
South Australia,Private Universities and Non-University Higher Education Providers,2022,Engineering and Related Technologies,204
South Australia,Private Universities and Non-University Higher Education Providers,2022,Health,228
South Australia,Private Universities and Non-University Higher Education Providers,2022,Education,1986
South Australia,Private Universities and Non-University Higher Education Providers,2022,Management and Commerce,3203
South Australia,Private Universities and Non-University Higher Education Providers,2022,Society and Culture,969
South Australia,Private Universities and Non-University Higher Education Providers,2022,Creative Arts,337
South Australia,Private Universities and Non-University Higher Education Providers,2022,Non-Award Courses,14
South Australia,Private Universities and Non-University Higher Education Providers,2023,Information Technology,186
South Australia,Private Universities and Non-University Higher Education Providers,2023,Engineering and Related Technologies,217
South Australia,Private Universities and Non-University Higher Education Providers,2023,Health,243
South Australia,Private Universities and Non-University Higher Education Providers,2023,Education,2117
South Australia,Private Universities and Non-University Higher Education Providers,2023,Management and Commerce,3415
South Australia,Private Universities and Non-University Higher Education Providers,2023,Society and Culture,1033
South Australia,Private Universities and Non-University Higher Education Providers,2023,Creative Arts,360
South Australia,Private Universities and Non-University Higher Education Providers,2023,Non-Award Courses,15
South Australia,Private Universities and Non-University Higher Education Providers,2024,Information Technology,225
South Australia,Private Universities and Non-University Higher Education Providers,2024,Engineering and Related Technologies,262
South Australia,Private Universities and Non-University Higher Education Providers,2024,Health,293
South Australia,Private Universities and Non-University Higher Education Providers,2024,Education,2554
South Australia,Private Universities and Non-University Higher Education Providers,2024,Management and Commerce,4120
South Australia,Private Universities and Non-University Higher Education Providers,2024,Society and Culture,1246
South Australia,Private Universities and Non-University Higher Education Providers,2024,Creative Arts,434
South Australia,Private Universities and Non-University Higher Education Providers,2024,Non-Award Courses,18
South Australia,The University of Adelaide,2020,Natural and Physical Sciences,3193
South Australia,The University of Adelaide,2020,Information Technology,3247
South Australia,The University of Adelaide,2020,Engineering and Related Technologies,3929
South Australia,The University of Adelaide,2020,Architecture and Building,580
South Australia,The University of Adelaide,2020,"Agriculture, Environmental and Related Studies",927
South Australia,The University of Adelaide,2020,Health,6014
South Australia,The University of Adelaide,2020,Education,905
South Australia,The University of Adelaide,2020,Management and Commerce,4849
South Australia,The University of Adelaide,2020,Society and Culture,6030
South Australia,The University of Adelaide,2020,Creative Arts,1135
South Australia,The University of Adelaide,2020,Non-Award Courses,237
South Australia,The University of Adelaide,2021,Natural and Physical Sciences,3331
South Australia,The University of Adelaide,2021,Information Technology,3387
South Australia,The University of Adelaide,2021,Engineering and Related Technologies,4100
South Australia,The University of Adelaide,2021,Architecture and Building,605
South Australia,The University of Adelaide,2021,"Agriculture, Environmental and Related Studies",968
South Australia,The University of Adelaide,2021,Health,6275
South Australia,The University of Adelaide,2021,Education,945
South Australia,The University of Adelaide,2021,Management and Commerce,5060
South Australia,The University of Adelaide,2021,Society and Culture,6292
South Australia,The University of Adelaide,2021,Creative Arts,1185
South Australia,The University of Adelaide,2021,Non-Award Courses,247
South Australia,The University of Adelaide,2022,Natural and Physical Sciences,3258
South Australia,The University of Adelaide,2022,Information Technology,3313
South Australia,The University of Adelaide,2022,Engineering and Related Technologies,4009
South Australia,The University of Adelaide,2022,Architecture and Building,592
South Australia,The University of Adelaide,2022,"Agriculture, Environmental and Related Studies",946
South Australia,The University of Adelaide,2022,Health,6137
South Australia,The University of Adelaide,2022,Education,924
South Australia,The University of Adelaide,2022,Management and Commerce,4948
South Australia,The University of Adelaide,2022,Society and Culture,6152
South Australia,The University of Adelaide,2022,Creative Arts,1159
South Australia,The University of Adelaide,2022,Non-Award Courses,242
South Australia,The University of Adelaide,2023,Natural and Physical Sciences,3271
South Australia,The University of Adelaide,2023,Information Technology,3326
South Australia,The University of Adelaide,2023,Engineering and Related Technologies,4026
South Australia,The University of Adelaide,2023,Architecture and Building,594
South Australia,The University of Adelaide,2023,"Agriculture, Environmental and Related Studies",950
South Australia,The University of Adelaide,2023,Health,6162
South Australia,The University of Adelaide,2023,Education,927
South Australia,The University of Adelaide,2023,Management and Commerce,4968
South Australia,The University of Adelaide,2023,Society and Culture,6177
South Australia,The University of Adelaide,2023,Creative Arts,1163
South Australia,The University of Adelaide,2023,Non-Award Courses,243
South Australia,The University of Adelaide,2024,Natural and Physical Sciences,3315
South Australia,The University of Adelaide,2024,Information Technology,3371
South Australia,The University of Adelaide,2024,Engineering and Related Technologies,4080
South Australia,The University of Adelaide,2024,Architecture and Building,602
South Australia,The University of Adelaide,2024,"Agriculture, Environmental and Related Studies",963
South Australia,The University of Adelaide,2024,Health,6245
South Australia,The University of Adelaide,2024,Education,940
South Australia,The University of Adelaide,2024,Management and Commerce,5035
South Australia,The University of Adelaide,2024,Society and Culture,6261
South Australia,The University of Adelaide,2024,Creative Arts,1179
South Australia,The University of Adelaide,2024,Non-Award Courses,246
South Australia,Torrens University Australia,2020,Information Technology,3926
South Australia,Torrens University Australia,2020,Engineering and Related Technologies,2
South Australia,Torrens University Australia,2020,Architecture and Building,1372
South Australia,Torrens University Australia,2020,Health,5921
South Australia,Torrens University Australia,2020,Education,433
South Australia,Torrens University Australia,2020,Management and Commerce,7342
South Australia,Torrens University Australia,2020,Society and Culture,1621
South Australia,Torrens University Australia,2020,Creative Arts,2595
South Australia,Torrens University Australia,2020,"Food, Hospitality and Personal Services",48
South Australia,Torrens University Australia,2020,Non-Award Courses,7
South Australia,Torrens University Australia,2021,Information Technology,3957
South Australia,Torrens University Australia,2021,Engineering and Related Technologies,2
South Australia,Torrens University Australia,2021,Architecture and Building,1383
South Australia,Torrens University Australia,2021,Health,5969
South Australia,Torrens University Australia,2021,Education,437
South Australia,Torrens University Australia,2021,Management and Commerce,7401
South Australia,Torrens University Australia,2021,Society and Culture,1634
South Australia,Torrens University Australia,2021,Creative Arts,2616
South Australia,Torrens University Australia,2021,"Food, Hospitality and Personal Services",49
South Australia,Torrens University Australia,2021,Non-Award Courses,7
South Australia,Torrens University Australia,2022,Information Technology,4167
South Australia,Torrens University Australia,2022,Engineering and Related Technologies,2
South Australia,Torrens University Australia,2022,Architecture and Building,1456
South Australia,Torrens University Australia,2022,Health,6285
South Australia,Torrens University Australia,2022,Education,460
South Australia,Torrens University Australia,2022,Management and Commerce,7793
South Australia,Torrens University Australia,2022,Society and Culture,1721
South Australia,Torrens University Australia,2022,Creative Arts,2755
South Australia,Torrens University Australia,2022,"Food, Hospitality and Personal Services",51
South Australia,Torrens University Australia,2022,Non-Award Courses,8
South Australia,Torrens University Australia,2023,Information Technology,4190
South Australia,Torrens University Australia,2023,Engineering and Related Technologies,2
South Australia,Torrens University Australia,2023,Architecture and Building,1464
South Australia,Torrens University Australia,2023,Health,6319
South Australia,Torrens University Australia,2023,Education,463
South Australia,Torrens University Australia,2023,Management and Commerce,7836
South Australia,Torrens University Australia,2023,Society and Culture,1730
South Australia,Torrens University Australia,2023,Creative Arts,2770
South Australia,Torrens University Australia,2023,"Food, Hospitality and Personal Services",52
South Australia,Torrens University Australia,2023,Non-Award Courses,8
South Australia,Torrens University Australia,2024,Information Technology,4293
South Australia,Torrens University Australia,2024,Engineering and Related Technologies,2
South Australia,Torrens University Australia,2024,Architecture and Building,1500
South Australia,Torrens University Australia,2024,Health,6475
South Australia,Torrens University Australia,2024,Education,474
South Australia,Torrens University Australia,2024,Management and Commerce,8029
South Australia,Torrens University Australia,2024,Society and Culture,1773
South Australia,Torrens University Australia,2024,Creative Arts,2838
South Australia,Torrens University Australia,2024,"Food, Hospitality and Personal Services",53
South Australia,Torrens University Australia,2024,Non-Award Courses,8
South Australia,University of South Australia,2020,Natural and Physical Sciences,931
South Australia,University of South Australia,2020,Information Technology,2950
South Australia,University of South Australia,2020,Engineering and Related Technologies,2429
South Australia,University of South Australia,2020,Architecture and Building,2393
South Australia,University of South Australia,2020,"Agriculture, Environmental and Related Studies",193
South Australia,University of South Australia,2020,Health,10406
South Australia,University of South Australia,2020,Education,3980
South Australia,University of South Australia,2020,Management and Commerce,6741
South Australia,University of South Australia,2020,Society and Culture,5225
South Australia,University of South Australia,2020,Creative Arts,2027
South Australia,University of South Australia,2020,Mixed Field Programmes,701
South Australia,University of South Australia,2020,Non-Award Courses,253
South Australia,University of South Australia,2021,Natural and Physical Sciences,929
South Australia,University of South Australia,2021,Information Technology,2944
South Australia,University of South Australia,2021,Engineering and Related Technologies,2423
South Australia,University of South Australia,2021,Architecture and Building,2388
South Australia,University of South Australia,2021,"Agriculture, Environmental and Related Studies",192
South Australia,University of South Australia,2021,Health,10382
South Australia,University of South Australia,2021,Education,3971
South Australia,University of South Australia,2021,Management and Commerce,6726
South Australia,University of South Australia,2021,Society and Culture,5213
South Australia,University of South Australia,2021,Creative Arts,2023
South Australia,University of South Australia,2021,Mixed Field Programmes,700
South Australia,University of South Australia,2021,Non-Award Courses,252
South Australia,University of South Australia,2022,Natural and Physical Sciences,887
South Australia,University of South Australia,2022,Information Technology,2813
South Australia,University of South Australia,2022,Engineering and Related Technologies,2316
South Australia,University of South Australia,2022,Architecture and Building,2282
South Australia,University of South Australia,2022,"Agriculture, Environmental and Related Studies",184
South Australia,University of South Australia,2022,Health,9921
South Australia,University of South Australia,2022,Education,3795
South Australia,University of South Australia,2022,Management and Commerce,6427
South Australia,University of South Australia,2022,Society and Culture,4982
South Australia,University of South Australia,2022,Creative Arts,1933
South Australia,University of South Australia,2022,Mixed Field Programmes,668
South Australia,University of South Australia,2022,Non-Award Courses,241
South Australia,University of South Australia,2023,Natural and Physical Sciences,850
South Australia,University of South Australia,2023,Information Technology,2694
South Australia,University of South Australia,2023,Engineering and Related Technologies,2218
South Australia,University of South Australia,2023,Architecture and Building,2185
South Australia,University of South Australia,2023,"Agriculture, Environmental and Related Studies",176
South Australia,University of South Australia,2023,Health,9503
South Australia,University of South Australia,2023,Education,3635
South Australia,University of South Australia,2023,Management and Commerce,6156
South Australia,University of South Australia,2023,Society and Culture,4772
South Australia,University of South Australia,2023,Creative Arts,1851
South Australia,University of South Australia,2023,Mixed Field Programmes,640
South Australia,University of South Australia,2023,Non-Award Courses,231
South Australia,University of South Australia,2024,Natural and Physical Sciences,835
South Australia,University of South Australia,2024,Information Technology,2647
South Australia,University of South Australia,2024,Engineering and Related Technologies,2179
South Australia,University of South Australia,2024,Architecture and Building,2147
South Australia,University of South Australia,2024,"Agriculture, Environmental and Related Studies",173
South Australia,University of South Australia,2024,Health,9336
South Australia,University of South Australia,2024,Education,3571
South Australia,University of South Australia,2024,Management and Commerce,6048
South Australia,University of South Australia,2024,Society and Culture,4688
South Australia,University of South Australia,2024,Creative Arts,1819
South Australia,University of South Australia,2024,Mixed Field Programmes,629
South Australia,University of South Australia,2024,Non-Award Courses,227
Tasmania,University of Tasmania,2020,Natural and Physical Sciences,2988
Tasmania,University of Tasmania,2020,Information Technology,2211
Tasmania,University of Tasmania,2020,Engineering and Related Technologies,1624
Tasmania,University of Tasmania,2020,Architecture and Building,388
Tasmania,University of Tasmania,2020,"Agriculture, Environmental and Related Studies",2381
Tasmania,University of Tasmania,2020,Health,16925
Tasmania,University of Tasmania,2020,Education,3440
Tasmania,University of Tasmania,2020,Management and Commerce,3566
Tasmania,University of Tasmania,2020,Society and Culture,6236
Tasmania,University of Tasmania,2020,Creative Arts,1355
Tasmania,University of Tasmania,2020,Mixed Field Programmes,1415
Tasmania,University of Tasmania,2020,Non-Award Courses,84
Tasmania,University of Tasmania,2021,Natural and Physical Sciences,2592
Tasmania,University of Tasmania,2021,Information Technology,1918
Tasmania,University of Tasmania,2021,Engineering and Related Technologies,1409
Tasmania,University of Tasmania,2021,Architecture and Building,336
Tasmania,University of Tasmania,2021,"Agriculture, Environmental and Related Studies",2065
Tasmania,University of Tasmania,2021,Health,14685
Tasmania,University of Tasmania,2021,Education,2985
Tasmania,University of Tasmania,2021,Management and Commerce,3094
Tasmania,University of Tasmania,2021,Society and Culture,5410
Tasmania,University of Tasmania,2021,Creative Arts,1175
Tasmania,University of Tasmania,2021,Mixed Field Programmes,1227
Tasmania,University of Tasmania,2021,Non-Award Courses,72
Tasmania,University of Tasmania,2022,Natural and Physical Sciences,2391
Tasmania,University of Tasmania,2022,Information Technology,1770
Tasmania,University of Tasmania,2022,Engineering and Related Technologies,1300
Tasmania,University of Tasmania,2022,Architecture and Building,310
Tasmania,University of Tasmania,2022,"Agriculture, Environmental and Related Studies",1906
Tasmania,University of Tasmania,2022,Health,13548
Tasmania,University of Tasmania,2022,Education,2754
Tasmania,University of Tasmania,2022,Management and Commerce,2854
Tasmania,University of Tasmania,2022,Society and Culture,4992
Tasmania,University of Tasmania,2022,Creative Arts,1084
Tasmania,University of Tasmania,2022,Mixed Field Programmes,1132
Tasmania,University of Tasmania,2022,Non-Award Courses,67
Tasmania,University of Tasmania,2023,Natural and Physical Sciences,2247
Tasmania,University of Tasmania,2023,Information Technology,1663
Tasmania,University of Tasmania,2023,Engineering and Related Technologies,1221
Tasmania,University of Tasmania,2023,Architecture and Building,292
Tasmania,University of Tasmania,2023,"Agriculture, Environmental and Related Studies",1791
Tasmania,University of Tasmania,2023,Health,12731
Tasmania,University of Tasmania,2023,Education,2588
Tasmania,University of Tasmania,2023,Management and Commerce,2682
Tasmania,University of Tasmania,2023,Society and Culture,4691
Tasmania,University of Tasmania,2023,Creative Arts,1019
Tasmania,University of Tasmania,2023,Mixed Field Programmes,1064
Tasmania,University of Tasmania,2023,Non-Award Courses,63
Tasmania,University of Tasmania,2024,Natural and Physical Sciences,2289
Tasmania,University of Tasmania,2024,Information Technology,1694
Tasmania,University of Tasmania,2024,Engineering and Related Technologies,1244
Tasmania,University of Tasmania,2024,Architecture and Building,297
Tasmania,University of Tasmania,2024,"Agriculture, Environmental and Related Studies",1824
Tasmania,University of Tasmania,2024,Health,12968
Tasmania,University of Tasmania,2024,Education,2636
Tasmania,University of Tasmania,2024,Management and Commerce,2732
Tasmania,University of Tasmania,2024,Society and Culture,4778
Tasmania,University of Tasmania,2024,Creative Arts,1038
Tasmania,University of Tasmania,2024,Mixed Field Programmes,1084
Tasmania,University of Tasmania,2024,Non-Award Courses,64
Victoria,Deakin University,2020,Natural and Physical Sciences,3638
Victoria,Deakin University,2020,Information Technology,8789
Victoria,Deakin University,2020,Engineering and Related Technologies,2624
Victoria,Deakin University,2020,Architecture and Building,1868
Victoria,Deakin University,2020,"Agriculture, Environmental and Related Studies",984
Victoria,Deakin University,2020,Health,12460
Victoria,Deakin University,2020,Education,6778
Victoria,Deakin University,2020,Management and Commerce,11992
Victoria,Deakin University,2020,Society and Culture,16202
Victoria,Deakin University,2020,Creative Arts,2134
Victoria,Deakin University,2020,Non-Award Courses,562
Victoria,Deakin University,2021,Natural and Physical Sciences,3563
Victoria,Deakin University,2021,Information Technology,8609
Victoria,Deakin University,2021,Engineering and Related Technologies,2570
Victoria,Deakin University,2021,Architecture and Building,1830
Victoria,Deakin University,2021,"Agriculture, Environmental and Related Studies",964
Victoria,Deakin University,2021,Health,12204
Victoria,Deakin University,2021,Education,6638
Victoria,Deakin University,2021,Management and Commerce,11746
Victoria,Deakin University,2021,Society and Culture,15869
Victoria,Deakin University,2021,Creative Arts,2090
Victoria,Deakin University,2021,Non-Award Courses,550
Victoria,Deakin University,2022,Natural and Physical Sciences,3262
Victoria,Deakin University,2022,Information Technology,7880
Victoria,Deakin University,2022,Engineering and Related Technologies,2353
Victoria,Deakin University,2022,Architecture and Building,1675
Victoria,Deakin University,2022,"Agriculture, Environmental and Related Studies",882
Victoria,Deakin University,2022,Health,11171
Victoria,Deakin University,2022,Education,6077
Victoria,Deakin University,2022,Management and Commerce,10752
Victoria,Deakin University,2022,Society and Culture,14526
Victoria,Deakin University,2022,Creative Arts,1913
Victoria,Deakin University,2022,Non-Award Courses,503
Victoria,Deakin University,2023,Natural and Physical Sciences,3263
Victoria,Deakin University,2023,Information Technology,7884
Victoria,Deakin University,2023,Engineering and Related Technologies,2354
Victoria,Deakin University,2023,Architecture and Building,1676
Victoria,Deakin University,2023,"Agriculture, Environmental and Related Studies",882
Victoria,Deakin University,2023,Health,11176
Victoria,Deakin University,2023,Education,6079
Victoria,Deakin University,2023,Management and Commerce,10757
Victoria,Deakin University,2023,Society and Culture,14533
Victoria,Deakin University,2023,Creative Arts,1914
Victoria,Deakin University,2023,Non-Award Courses,504
Victoria,Deakin University,2024,Natural and Physical Sciences,3369
Victoria,Deakin University,2024,Information Technology,8139
Victoria,Deakin University,2024,Engineering and Related Technologies,2430
Victoria,Deakin University,2024,Architecture and Building,1730
Victoria,Deakin University,2024,"Agriculture, Environmental and Related Studies",911
Victoria,Deakin University,2024,Health,11538
Victoria,Deakin University,2024,Education,6276
Victoria,Deakin University,2024,Management and Commerce,11105
Victoria,Deakin University,2024,Society and Culture,15003
Victoria,Deakin University,2024,Creative Arts,1976
