state,institution,year,faculty,enrolments
Multi-State,Non-University Higher Education Providers,2022,Society and Culture,2735
Multi-State,Non-University Higher Education Providers,2022,Non-Award Courses,52
Multi-State,Non-University Higher Education Providers,2023,Society and Culture,2509
Multi-State,Non-University Higher Education Providers,2023,Non-Award Courses,47
Multi-State,Non-University Higher Education Providers,2024,Society and Culture,2438
Multi-State,Non-University Higher Education Providers,2024,Non-Award Courses,46
New South Wales,Avondale University,2020,Natural and Physical Sciences,5
New South Wales,Avondale University,2020,Health,415
New South Wales,Avondale University,2020,Education,347
New South Wales,Avondale University,2020,Management and Commerce,78
New South Wales,Avondale University,2020,Society and Culture,576
New South Wales,Avondale University,2020,Creative Arts,34
New South Wales,Avondale University,2020,Non-Award Courses,6
New South Wales,Avondale University,2021,Natural and Physical Sciences,6
New South Wales,Avondale University,2021,Health,438
New South Wales,Avondale University,2021,Education,367
New South Wales,Avondale University,2021,Management and Commerce,82
New South Wales,Avondale University,2021,Society and Culture,608
New South Wales,Avondale University,2021,Creative Arts,35
New South Wales,Avondale University,2021,Non-Award Courses,7
New South Wales,Avondale University,2022,Natural and Physical Sciences,5
New South Wales,Avondale University,2022,Health,385
New South Wales,Avondale University,2022,Education,322
New South Wales,Avondale University,2022,Management and Commerce,72
New South Wales,Avondale University,2022,Society and Culture,534
New South Wales,Avondale University,2022,Creative Arts,31
New South Wales,Avondale University,2022,Non-Award Courses,6
New South Wales,Avondale University,2023,Natural and Physical Sciences,5
New South Wales,Avondale University,2023,Health,359
New South Wales,Avondale University,2023,Education,301
New South Wales,Avondale University,2023,Management and Commerce,68
New South Wales,Avondale University,2023,Society and Culture,499
New South Wales,Avondale University,2023,Creative Arts,29
New South Wales,Avondale University,2023,Non-Award Courses,6
New South Wales,Avondale University,2024,Natural and Physical Sciences,5
New South Wales,Avondale University,2024,Health,383
New South Wales,Avondale University,2024,Education,321
New South Wales,Avondale University,2024,Management and Commerce,72
New South Wales,Avondale University,2024,Society and Culture,532
New South Wales,Avondale University,2024,Creative Arts,31
New South Wales,Avondale University,2024,Non-Award Courses,6
New South Wales,Charles Sturt University,2020,Natural and Physical Sciences,1384
New South Wales,Charles Sturt University,2020,Information Technology,2206
New South Wales,Charles Sturt University,2020,Engineering and Related Technologies,212
New South Wales,Charles Sturt University,2020,"Agriculture, Environmental and Related Studies",2075
New South Wales,Charles Sturt University,2020,Health,10794
New South Wales,Charles Sturt University,2020,Education,9849
New South Wales,Charles Sturt University,2020,Management and Commerce,4726
New South Wales,Charles Sturt University,2020,Society and Culture,11522
New South Wales,Charles Sturt University,2020,Creative Arts,197
New South Wales,Charles Sturt University,2020,Mixed Field Programmes,106
New South Wales,Charles Sturt University,2020,Non-Award Courses,218
New South Wales,Charles Sturt University,2021,Natural and Physical Sciences,1291
New South Wales,Charles Sturt University,2021,Information Technology,2059
New South Wales,Charles Sturt University,2021,Engineering and Related Technologies,198
New South Wales,Charles Sturt University,2021,"Agriculture, Environmental and Related Studies",1937
New South Wales,Charles Sturt University,2021,Health,10075
New South Wales,Charles Sturt University,2021,Education,9193
New South Wales,Charles Sturt University,2021,Management and Commerce,4411
New South Wales,Charles Sturt University,2021,Society and Culture,10755
New South Wales,Charles Sturt University,2021,Creative Arts,184
New South Wales,Charles Sturt University,2021,Mixed Field Programmes,99
New South Wales,Charles Sturt University,2021,Non-Award Courses,204
New South Wales,Charles Sturt University,2022,Natural and Physical Sciences,1171
New South Wales,Charles Sturt University,2022,Information Technology,1867
New South Wales,Charles Sturt University,2022,Engineering and Related Technologies,180
New South Wales,Charles Sturt University,2022,"Agriculture, Environmental and Related Studies",1756
New South Wales,Charles Sturt University,2022,Health,9134
New South Wales,Charles Sturt University,2022,Education,8334
New South Wales,Charles Sturt University,2022,Management and Commerce,4000
New South Wales,Charles Sturt University,2022,Society and Culture,9751
New South Wales,Charles Sturt University,2022,Creative Arts,167
New South Wales,Charles Sturt University,2022,Mixed Field Programmes,90
New South Wales,Charles Sturt University,2022,Non-Award Courses,185
New South Wales,Charles Sturt University,2023,Natural and Physical Sciences,1112
New South Wales,Charles Sturt University,2023,Information Technology,1772
New South Wales,Charles Sturt University,2023,Engineering and Related Technologies,171
New South Wales,Charles Sturt University,2023,"Agriculture, Environmental and Related Studies",1667
New South Wales,Charles Sturt University,2023,Health,8673
New South Wales,Charles Sturt University,2023,Education,7913
New South Wales,Charles Sturt University,2023,Management and Commerce,3797
New South Wales,Charles Sturt University,2023,Society and Culture,9258
New South Wales,Charles Sturt University,2023,Creative Arts,159
New South Wales,Charles Sturt University,2023,Mixed Field Programmes,85
New South Wales,Charles Sturt University,2023,Non-Award Courses,176
New South Wales,Charles Sturt University,2024,Natural and Physical Sciences,1121
New South Wales,Charles Sturt University,2024,Information Technology,1787
New South Wales,Charles Sturt University,2024,Engineering and Related Technologies,172
New South Wales,Charles Sturt University,2024,"Agriculture, Environmental and Related Studies",1681
New South Wales,Charles Sturt University,2024,Health,8745
New South Wales,Charles Sturt University,2024,Education,7979
New South Wales,Charles Sturt University,2024,Management and Commerce,3829
New South Wales,Charles Sturt University,2024,Society and Culture,9335
New South Wales,Charles Sturt University,2024,Creative Arts,160
New South Wales,Charles Sturt University,2024,Mixed Field Programmes,86
New South Wales,Charles Sturt University,2024,Non-Award Courses,177
New South Wales,Macquarie University,2020,Natural and Physical Sciences,3625
New South Wales,Macquarie University,2020,Information Technology,6033
New South Wales,Macquarie University,2020,Engineering and Related Technologies,2431
New South Wales,Macquarie University,2020,Architecture and Building,232
New South Wales,Macquarie University,2020,"Agriculture, Environmental and Related Studies",673
New South Wales,Macquarie University,2020,Health,3191
New South Wales,Macquarie University,2020,Education,3737
New South Wales,Macquarie University,2020,Management and Commerce,12029
New South Wales,Macquarie University,2020,Society and Culture,16585
New South Wales,Macquarie University,2020,Creative Arts,2448
New South Wales,Macquarie University,2020,Mixed Field Programmes,288
New South Wales,Macquarie University,2020,Non-Award Courses,349
New South Wales,Macquarie University,2021,Natural and Physical Sciences,3634
New South Wales,Macquarie University,2021,Information Technology,6048
New South Wales,Macquarie University,2021,Engineering and Related Technologies,2437
New South Wales,Macquarie University,2021,Architecture and Building,233
New South Wales,Macquarie University,2021,"Agriculture, Environmental and Related Studies",674
New South Wales,Macquarie University,2021,Health,3198
New South Wales,Macquarie University,2021,Education,3745
New South Wales,Macquarie University,2021,Management and Commerce,12058
New South Wales,Macquarie University,2021,Society and Culture,16625
New South Wales,Macquarie University,2021,Creative Arts,2454
New South Wales,Macquarie University,2021,Mixed Field Programmes,289
New South Wales,Macquarie University,2021,Non-Award Courses,350
New South Wales,Macquarie University,2022,Natural and Physical Sciences,3551
New South Wales,Macquarie University,2022,Information Technology,5911
New South Wales,Macquarie University,2022,Engineering and Related Technologies,2382
New South Wales,Macquarie University,2022,Architecture and Building,227
New South Wales,Macquarie University,2022,"Agriculture, Environmental and Related Studies",659
New South Wales,Macquarie University,2022,Health,3126
New South Wales,Macquarie University,2022,Education,3661
New South Wales,Macquarie University,2022,Management and Commerce,11784
New South Wales,Macquarie University,2022,Society and Culture,16248
New South Wales,Macquarie University,2022,Creative Arts,2398
New South Wales,Macquarie University,2022,Mixed Field Programmes,282
New South Wales,Macquarie University,2022,Non-Award Courses,342
New South Wales,Macquarie University,2023,Natural and Physical Sciences,3578
New South Wales,Macquarie University,2023,Information Technology,5955
New South Wales,Macquarie University,2023,Engineering and Related Technologies,2400
New South Wales,Macquarie University,2023,Architecture and Building,229
New South Wales,Macquarie University,2023,"Agriculture, Environmental and Related Studies",664
New South Wales,Macquarie University,2023,Health,3149
New South Wales,Macquarie University,2023,Education,3688
New South Wales,Macquarie University,2023,Management and Commerce,11872
New South Wales,Macquarie University,2023,Society and Culture,16370
New South Wales,Macquarie University,2023,Creative Arts,2416
New South Wales,Macquarie University,2023,Mixed Field Programmes,284
New South Wales,Macquarie University,2023,Non-Award Courses,344
New South Wales,Macquarie University,2024,Natural and Physical Sciences,3638
New South Wales,Macquarie University,2024,Information Technology,6055
New South Wales,Macquarie University,2024,Engineering and Related Technologies,2440
New South Wales,Macquarie University,2024,Architecture and Building,233
New South Wales,Macquarie University,2024,"Agriculture, Environmental and Related Studies",675
New South Wales,Macquarie University,2024,Health,3202
New South Wales,Macquarie University,2024,Education,3750
New South Wales,Macquarie University,2024,Management and Commerce,12072
New South Wales,Macquarie University,2024,Society and Culture,16645
New South Wales,Macquarie University,2024,Creative Arts,2457
New South Wales,Macquarie University,2024,Mixed Field Programmes,289
New South Wales,Macquarie University,2024,Non-Award Courses,350
New South Wales,Non-University Higher Education Providers,2020,Natural and Physical Sciences,924
New South Wales,Non-University Higher Education Providers,2020,Information Technology,9341
New South Wales,Non-University Higher Education Providers,2020,Engineering and Related Technologies,409
New South Wales,Non-University Higher Education Providers,2020,Architecture and Building,159
New South Wales,Non-University Higher Education Providers,2020,"Agriculture, Environmental and Related Studies",38
New South Wales,Non-University Higher Education Providers,2020,Health,1224
New South Wales,Non-University Higher Education Providers,2020,Education,3055
New South Wales,Non-University Higher Education Providers,2020,Management and Commerce,32324
New South Wales,Non-University Higher Education Providers,2020,Society and Culture,13020
New South Wales,Non-University Higher Education Providers,2020,Creative Arts,6878
New South Wales,Non-University Higher Education Providers,2020,"Food, Hospitality and Personal Services",104
New South Wales,Non-University Higher Education Providers,2020,Non-Award Courses,349
New South Wales,Non-University Higher Education Providers,2021,Natural and Physical Sciences,881
New South Wales,Non-University Higher Education Providers,2021,Information Technology,8908
New South Wales,Non-University Higher Education Providers,2021,Engineering and Related Technologies,390
New South Wales,Non-University Higher Education Providers,2021,Architecture and Building,152
New South Wales,Non-University Higher Education Providers,2021,"Agriculture, Environmental and Related Studies",36
New South Wales,Non-University Higher Education Providers,2021,Health,1167
New South Wales,Non-University Higher Education Providers,2021,Education,2913
New South Wales,Non-University Higher Education Providers,2021,Management and Commerce,30825
New South Wales,Non-University Higher Education Providers,2021,Society and Culture,12416
New South Wales,Non-University Higher Education Providers,2021,Creative Arts,6559
New South Wales,Non-University Higher Education Providers,2021,"Food, Hospitality and Personal Services",99
New South Wales,Non-University Higher Education Providers,2021,Non-Award Courses,333
New South Wales,Non-University Higher Education Providers,2022,Natural and Physical Sciences,908
New South Wales,Non-University Higher Education Providers,2022,Information Technology,9179
New South Wales,Non-University Higher Education Providers,2022,Engineering and Related Technologies,402
New South Wales,Non-University Higher Education Providers,2022,Architecture and Building,156
New South Wales,Non-University Higher Education Providers,2022,"Agriculture, Environmental and Related Studies",37
New South Wales,Non-University Higher Education Providers,2022,Health,1202
New South Wales,Non-University Higher Education Providers,2022,Education,3002
New South Wales,Non-University Higher Education Providers,2022,Management and Commerce,31765
New South Wales,Non-University Higher Education Providers,2022,Society and Culture,12795
New South Wales,Non-University Higher Education Providers,2022,Creative Arts,6759
New South Wales,Non-University Higher Education Providers,2022,"Food, Hospitality and Personal Services",102
New South Wales,Non-University Higher Education Providers,2022,Non-Award Courses,343
New South Wales,Non-University Higher Education Providers,2023,Natural and Physical Sciences,1152
New South Wales,Non-University Higher Education Providers,2023,Information Technology,11652
New South Wales,Non-University Higher Education Providers,2023,Engineering and Related Technologies,510
New South Wales,Non-University Higher Education Providers,2023,Architecture and Building,199
New South Wales,Non-University Higher Education Providers,2023,"Agriculture, Environmental and Related Studies",47
New South Wales,Non-University Higher Education Providers,2023,Health,1526
New South Wales,Non-University Higher Education Providers,2023,Education,3811
New South Wales,Non-University Higher Education Providers,2023,Management and Commerce,40320
New South Wales,Non-University Higher Education Providers,2023,Society and Culture,16241
New South Wales,Non-University Higher Education Providers,2023,Creative Arts,8580
New South Wales,Non-University Higher Education Providers,2023,"Food, Hospitality and Personal Services",129
New South Wales,Non-University Higher Education Providers,2023,Non-Award Courses,436
New South Wales,Non-University Higher Education Providers,2024,Natural and Physical Sciences,1346
New South Wales,Non-University Higher Education Providers,2024,Information Technology,13612
New South Wales,Non-University Higher Education Providers,2024,Engineering and Related Technologies,596
New South Wales,Non-University Higher Education Providers,2024,Architecture and Building,232
New South Wales,Non-University Higher Education Providers,2024,"Agriculture, Environmental and Related Studies",55
New South Wales,Non-University Higher Education Providers,2024,Health,1783
New South Wales,Non-University Higher Education Providers,2024,Education,4452
New South Wales,Non-University Higher Education Providers,2024,Management and Commerce,47104
New South Wales,Non-University Higher Education Providers,2024,Society and Culture,18973
New South Wales,Non-University Higher Education Providers,2024,Creative Arts,10023
New South Wales,Non-University Higher Education Providers,2024,"Food, Hospitality and Personal Services",151
New South Wales,Non-University Higher Education Providers,2024,Non-Award Courses,509
New South Wales,Southern Cross University,2020,Natural and Physical Sciences,627
New South Wales,Southern Cross University,2020,Information Technology,935
New South Wales,Southern Cross University,2020,Engineering and Related Technologies,570
New South Wales,Southern Cross University,2020,"Agriculture, Environmental and Related Studies",202
New South Wales,Southern Cross University,2020,Health,4533
New South Wales,Southern Cross University,2020,Education,7033
New South Wales,Southern Cross University,2020,Management and Commerce,2144
New South Wales,Southern Cross University,2020,Society and Culture,2631
New South Wales,Southern Cross University,2020,Creative Arts,575
New South Wales,Southern Cross University,2020,"Food, Hospitality and Personal Services",86
New South Wales,Southern Cross University,2020,Mixed Field Programmes,715
New South Wales,Southern Cross University,2020,Non-Award Courses,100
New South Wales,Southern Cross University,2021,Natural and Physical Sciences,593
New South Wales,Southern Cross University,2021,Information Technology,884
New South Wales,Southern Cross University,2021,Engineering and Related Technologies,539
New South Wales,Southern Cross University,2021,"Agriculture, Environmental and Related Studies",191
New South Wales,Southern Cross University,2021,Health,4287
New South Wales,Southern Cross University,2021,Education,6651
New South Wales,Southern Cross University,2021,Management and Commerce,2027
New South Wales,Southern Cross University,2021,Society and Culture,2488
New South Wales,Southern Cross University,2021,Creative Arts,543
New South Wales,Southern Cross University,2021,"Food, Hospitality and Personal Services",81
New South Wales,Southern Cross University,2021,Mixed Field Programmes,676
New South Wales,Southern Cross University,2021,Non-Award Courses,95
New South Wales,Southern Cross University,2022,Natural and Physical Sciences,545
New South Wales,Southern Cross University,2022,Information Technology,812
New South Wales,Southern Cross University,2022,Engineering and Related Technologies,495
New South Wales,Southern Cross University,2022,"Agriculture, Environmental and Related Studies",176
New South Wales,Southern Cross University,2022,Health,3935
New South Wales,Southern Cross University,2022,Education,6105
New South Wales,Southern Cross University,2022,Management and Commerce,1861
New South Wales,Southern Cross University,2022,Society and Culture,2284
New South Wales,Southern Cross University,2022,Creative Arts,499
New South Wales,Southern Cross University,2022,"Food, Hospitality and Personal Services",75
New South Wales,Southern Cross University,2022,Mixed Field Programmes,620
New South Wales,Southern Cross University,2022,Non-Award Courses,87
New South Wales,Southern Cross University,2023,Natural and Physical Sciences,546
New South Wales,Southern Cross University,2023,Information Technology,814
