typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","251","FRA","France","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27","false","-1","N/A",,"false","27","false",,"false","1177",,"1177","0","true","false",
"C","A","20140101","2014","52","2014","276","DEU","Germany","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","459","false","8","kg","459","false","459","false",,"false","577.983",,"577.983","0","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","284.03","false","8","kg","284.03","false","284.03","false","0","false","1249.135",,"1249.135","0","false","true",
"C","A","20140101","2014","52","2014","344","HKG","China, Hong Kong SAR","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","194530","false","-1","N/A",,"false","194530","false",,"false","57578",,"57578","0","true","false",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","133.19","false","8","kg","133.19","false","133.19","false","0","false","5654.046",,"5654.046","0","false","true",
"C","A","20140101","2014","52","2014","296","KIR","Kiribati","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","163","false","8","kg","163","false","163","false",,"false","803.85","769.999","803.85","0","false","true",
"C","A","20140101","2014","52","2014","360","IDN","Indonesia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","899122","false","-1","N/A",,"false","899122","false",,"false","416205",,"416205","0","true","false",
"C","A","20140101","2014","52","2014","364","IRN","Iran","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","200","false","8","kg","200","false","200","false",,"false","2955.22",,"2955.22","0","false","true",
"C","A","20140101","2014","52","2014","380","ITA","Italy","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","163200","false","-1","N/A",,"true","163200","false",,"false","55657",,"55657","0","false","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8000","false","-1","N/A",,"false","8000","false",,"false","138076",,"138076","0","true","false",
